100
image_id x_1 y_1 width height smiling
000001.jpg    95  71 226 313 1
000002.jpg    72  94 221 306 1
000003.jpg   216  59  91 126 -1
000004.jpg   622 257 564 781 -1
000005.jpg   236 109 120 166 -1
000006.jpg   146  67 182 252 -1
000007.jpg    64  93 211 292 -1
000008.jpg   212  89 218 302 -1
000009.jpg   600 274 343 475 1
000010.jpg   113 110 211 292 -1
000011.jpg   166  68 125 173 1
000012.jpg   102  31 104 144 1
000013.jpg    89 132 247 342 1
000014.jpg   110 122 234 324 1
000015.jpg    93  86 190 263 -1
000016.jpg    39  89 283 392 1
000017.jpg    40  64  62  86 1
000018.jpg   140  84 195 270 1
000019.jpg   226  87 138 191 -1
000020.jpg    85  38 221 306 -1
000021.jpg   128  27 135 187 1
000022.jpg   130  33 114 158 -1
000023.jpg   159  94 231 320 1
000024.jpg   753 127 114 158 -1
000025.jpg   239  85 200 277 -1
000026.jpg    59  45 107 148 -1
000027.jpg    90  47 104 144 1
000028.jpg   118  32 174 241 1
000029.jpg    93  71 153 212 1
000030.jpg   165 181 372 515 -1
000031.jpg    70  94 283 392 1
000032.jpg   143  50 211 292 -1
000033.jpg    82  37 114 158 1
000034.jpg   181  41 101 140 -1
000035.jpg   322 138 146 202 -1
000036.jpg   102  56 125 173 -1
000037.jpg    96  74 174 241 -1
000038.jpg   128  99 242 335 1
000039.jpg   167 207  96 133 1
000040.jpg    91  87 166 230 -1
000041.jpg   127  91 172 238 1
000042.jpg    84 102 174 241 1
000043.jpg   133  62 133 184 1
000044.jpg   743 626 998 1382 -1
000045.jpg   220  26 138 191 1
000046.jpg   134  65  99 137 1
000047.jpg   142  89 203 281 1
000048.jpg   264  58 140 194 -1
000049.jpg    47  45  60  83 -1
000050.jpg   110  30 133 184 1
000051.jpg    61  98 255 353 -1
000052.jpg   135 159 333 461 -1
000053.jpg    35  64  91 126 -1
000054.jpg   876 228 224 310 1
000055.jpg    30  62 268 371 -1
000056.jpg   188  91 281 389 -1
000057.jpg   220  25 114 158 -1
000058.jpg   167  64 140 194 -1
000059.jpg   125 169 263 364 -1
000060.jpg    17  84 174 241 -1
000061.jpg   171  50 239 331 -1
000062.jpg   263  68  94 130 1
000063.jpg     1  58  91 126 1
000064.jpg    82  66 177 245 1
000065.jpg   377 105 164 227 1
000066.jpg    29  39  57  79 1
000067.jpg   254  95 237 322 -1
000068.jpg    98 103 234 324 1
000069.jpg    58  54 229 317 -1
000070.jpg    46  30  75 104 1
000071.jpg    59 105 174 241 1
000072.jpg    20  29 101 140 1
000073.jpg   145  50 161 223 -1
000074.jpg   126   1 374 518 -1
000075.jpg   257   6  99 137 -1
000076.jpg   175  29 133 184 1
000077.jpg    70 116 221 306 1
000078.jpg   272  43 151 209 -1
000079.jpg    57  47 221 306 1
000080.jpg    84  79 281 389 -1
000081.jpg   111  58 133 184 1
000082.jpg    67  33  99 137 1
000083.jpg    88  84 161 223 1
000084.jpg    99  48 117 162 -1
000085.jpg   271 312 603 835 -1
000086.jpg   856 226 317 439 -1
000087.jpg    44  34  81 112 1
000088.jpg    52 112 278 385 -1
000089.jpg   337 146 320 443 -1
000090.jpg    38  33 109 151 -1
000091.jpg   101 120 174 241 -1
000092.jpg   133  78 140 194 1
000093.jpg   167  43  55  76 -1
000094.jpg   167  38  96 133 1
000095.jpg    28  20 109 137 -1
000096.jpg   322 110 330 457 -1
000097.jpg   202  77 200 277 -1
000098.jpg   436  56 101 140 -1
000099.jpg   102  83 138 191 1
000100.jpg   284 140 364 504 -1
